50 3
100.292999 0 0
107.771 0 0
115.249 0 0
122.727 0 0
130.205 0 0
100.292999 0 -7.6244
107.771 0 -7.6244
115.249 0 -7.6244
122.727 0 -7.6244
130.205 0 -7.6244
100.292999 0 -15.249
107.771 0 -15.249
115.249 0 -15.249
122.727 0 -15.249
130.205 0 -15.249
100.292999 0 -22.8736
107.771 0 -22.8736
115.249 0 -22.8736
122.727 0 -22.8736
130.205 0 -22.8736
100.292999 0 -30.498
107.771 0 -30.498
115.249 0 -30.498
122.727 0 -30.498
130.205 0 -30.498
0.292999 151.32 0
7.771 151.32 0
15.249 151.32 0
22.727 151.32 0
30.205 151.32 0
0.292999 151.32 -7.6244
7.771 151.32 -7.6244
15.249 151.32 -7.6244
22.727 151.32 -7.6244
30.205 151.32 -7.6244
0.292999 151.32 -15.249
7.771 151.32 -15.249
15.249 151.32 -15.249
22.727 151.32 -15.249
30.205 151.32 -15.249
0.292999 151.32 -22.8736
7.771 151.32 -22.8736
15.249 151.32 -22.8736
22.727 151.32 -22.8736
30.205 151.32 -22.8736
0.292999 151.32 -30.498
7.771 151.32 -30.498
15.249 151.32 -30.498
22.727 151.32 -30.498
30.205 151.32 -30.498
